bin_center,bin_content,x_lower_bound,x_upper_bound,y_lower_bound,y_upper_bound
350.8999938964844,3.4100000858306885,346.19999408721924,355.5999937057495,3.2100000828504562,3.6100000888109207
297.0,3.299999952316284,290.40000009536743,303.59999990463257,3.089999958872795,3.5099999457597733
251.0,3.2100000381469727,243.69999980926514,258.30000019073486,2.9900000393390656,3.4300000369548798
211.0,3.1500000953674316,203.69999980926514,218.30000019073486,2.9200000911951065,3.3800000995397568
176.3000030517578,3.0999999046325684,169.3000030517578,183.3000030517578,2.8599999099969864,3.3399998992681503
146.8000030517578,3.0399999618530273,139.70000314712524,153.90000295639038,2.7699999511241913,3.3099999725818634
120.9000015258789,2.990000009536743,113.9000015258789,127.9000015258789,2.7000000178813934,3.280000001192093
98.30000305175781,2.940000057220459,91.50000286102295,105.10000324249268,2.610000044107437,3.270000070333481
78.69999694824219,2.890000104904175,72.59999704360962,84.79999685287476,2.53000009059906,3.2500001192092896
61.900001525878906,2.8499999046325684,56.70000171661377,67.10000133514404,2.46999990940094,3.2299998998641968
47.599998474121094,2.819999933242798,42.69999837875366,52.499998569488525,2.369999945163727,3.269999921321869
35.599998474121094,2.809999942779541,30.499998569488525,40.69999837875366,2.259999930858612,3.35999995470047
